"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076824","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x200","250","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076876","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x300","500","300","","NWB_DimWidth","500","500","500","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076876","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x300","500","300","","NWB_DimHeight","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076876","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x300","500","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082389","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimWidth","350","350","350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082389","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimHeight","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082389","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082766","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimWidth","400","400","400","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082766","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimHeight","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12082766","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12087567","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimWidth","500","500","500","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12087567","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimHeight","350","350","350","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12087567","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12120461","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x250","200","250","","NWB_DimWidth","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12120461","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x250","200","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12120461","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x250","200","250","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12121715","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimWidth","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12121715","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimHeight","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12121715","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12290123","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimWidth","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12290123","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12290123","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432418","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","150x150","150","150","","NWB_DimWidth","150","150","150","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432418","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","150x150","150","150","","NWB_DimHeight","150","150","150","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432418","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","150x150","150","150","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432533","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","300x250","300","250","","NWB_DimWidth","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432533","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","300x250","300","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12432533","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","300x250","300","250","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12464035","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimWidth","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12464035","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12464035","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12464039","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimWidth","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12464039","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Shoe Branch","250x250","250","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
